"MutationCoverage","ReturnValsMutator","ConditionalsBoundaryMutator","VoidMethodCallMutator","IncrementsMutator","NegateConditionalsMutator","MathMutator","LineCoverage","Project","Tool","TestSuite","InvertNegsMutator"
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,"cli","randoop",4,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,"cli","randoop",5,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2866666667,0.4774774775,0.1428571429,0.1196581197,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.2853333333,0.4774774775,0.1428571429,0.1111111111,0.25,0.2434017595,0.1851851852,0.490924092,"cli","randoop",6,
0.3653333333,0.6396396396,0.1142857143,0.1196581197,0.5,0.3079178886,0.1851851852,0.603960396,"cli","randoop",7,
0.3746666667,0.6396396396,0.1142857143,0.1709401709,0.5,0.3108504399,0.1851851852,0.603960396,"cli","randoop",7,
0.3746666667,0.6396396396,0.1142857143,0.1709401709,0.5,0.3108504399,0.1851851852,0.603960396,"cli","randoop",7,
0.3746666667,0.6396396396,0.1142857143,0.1709401709,0.5,0.3108504399,0.1851851852,0.603960396,"cli","randoop",7,
0.3653333333,0.6396396396,0.1142857143,0.1196581197,0.5,0.3079178886,0.1851851852,0.603960396,"cli","randoop",7,
0.3746666667,0.6396396396,0.1142857143,0.1709401709,0.5,0.3108504399,0.1851851852,0.603960396,"cli","randoop",7,
0.3746666667,0.6396396396,0.1142857143,0.1709401709,0.5,0.3108504399,0.1851851852,0.603960396,"cli","randoop",7,
0.3746666667,0.6396396396,0.1142857143,0.1709401709,0.5,0.3108504399,0.1851851852,0.603960396,"cli","randoop",7,
0.3746666667,0.6396396396,0.1142857143,0.1709401709,0.5,0.3108504399,0.1851851852,0.603960396,"cli","randoop",7,
0.3653333333,0.6396396396,0.1142857143,0.1196581197,0.5,0.3079178886,0.1851851852,0.603960396,"cli","randoop",7,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.2546666667,0.4324324324,0.1714285714,0.0769230769,0.5,0.2140762463,0.1111111111,0.47029703,"cli","randoop",8,
0.3386666667,0.5855855856,0.1428571429,0.1282051282,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.34,0.5855855856,0.1142857143,0.1452991453,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3466666667,0.5855855856,0.1428571429,0.1794871795,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3466666667,0.5855855856,0.1428571429,0.1794871795,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3466666667,0.5855855856,0.1428571429,0.1794871795,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3466666667,0.5855855856,0.1428571429,0.1794871795,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.346,0.5855855856,0.1428571429,0.188034188,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3466666667,0.5855855856,0.1428571429,0.1794871795,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3466666667,0.5855855856,0.1428571429,0.1794871795,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3386666667,0.5855855856,0.1428571429,0.1282051282,0.75,0.275659824,0.1481481481,0.605610561,"cli","randoop",9,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.3493333333,0.6441441441,0.1142857143,0.1111111111,0.5,0.2785923754,0.1111111111,0.633663366,"cli","randoop",10,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6238095238,0.7018716578,0.4933920705,0.5472312704,0.6100628931,0.7056410256,0.5360169492,0.854307963,"codec","randoop",1,
0.6517857143,0.7032085561,0.4889867841,0.5732899023,0.6100628931,0.721025641,0.6112288136,0.858327054,"codec","randoop",2,
0.6517857143,0.7032085561,0.4889867841,0.5732899023,0.6100628931,0.721025641,0.6112288136,0.858578247,"codec","randoop",2,
0.6517857143,0.7032085561,0.4889867841,0.5732899023,0.6100628931,0.721025641,0.6112288136,0.858327054,"codec","randoop",2,
0.6517857143,0.7032085561,0.4889867841,0.5732899023,0.6100628931,0.721025641,0.6112288136,0.85807586,"codec","randoop",2,
0.6517857143,0.7032085561,0.4889867841,0.5732899023,0.6100628931,0.721025641,0.6112288136,0.858327054,"codec","randoop",2,
